twitter	name_first	name_middle	name_last	state	position	party	inactive 
AlishaKShelton	Alisha		Shelton	Neb.	House Candidate	Democrat	
Alison4Congress	Alison		Hayden	Calif.	House Candidate	Republican	inactive 
AlisonForKY	Alison	L.	Grimes	Ky.	Senate Candidate	Democrat	inactive 
AlisonforVA	Alison		Friedman	Va.	House Candidate	Democrat	inactive 
HartsonForCA	Alison		Hartson	Calif.	Senate Candidate	Democrat	inactive 
BaldwinforS	Alissa		Baldwin	Va.	Senate Candidate	Republican	inactive 
atoulme334	Alix	C.	Toulme Jr.	Fla.	House Candidate	Other	inactive 
fungforgovernor	Allan		Fung	R.I.	Gubernatorial Candidate	Republican	inactive 
Allegheny_Co	Allegheny		County	Pa.	Local Agency	Other	inactive 
AlleghenyDems	Allegheny		Democrats	Pa.	Political Party	Democrat	inactive 
allen_davidson	Allen		Davidson	Ind.	House Candidate	Republican	inactive 
AllenBGlines	Allen		Glines	Utah	Senate Candidate	Democrat	
AllenLEllison	Allen		Ellison	Fla.	Senate Candidate	Democrat	
AllenThomas4ENC	Allen		Thomas	N.C.	House Candidate	Democrat	inactive 
AllenWeh	Allen		Weh	N.M.	Senate Candidate	Republican	inactive 
AllenWest	Allen		West	Fla.	House Representative	Republican	inactive 
D17forEllison	Allen		Ellison	Fla.	House Candidate	Democrat	inactive 
ElectAllenWest	Allen		West	Fla.	House Representative	Republican	inactive 
RealTruePatriot	Allen	D.	Hardwick	Mich.	House Candidate	Republican	inactive 
watersforsenate	Allen		Waters	R.I.	Senate Candidate	Republican	inactive 
Whitt4WV	Allen		Whitt	W.Va.	Senate Candidate	Republican	inactive 
Allison4Nevada	Allison		Stephens	Nev.	House Candidate	Democrat	inactive 
AllisonforMD	Allison		Galbraith	Md.	House Candidate	Democrat	inactive 
Ally4Congress	Ally		Dalsimer	Va.	House Candidate	Democrat	
AlmaforCongress	Alma		Adams	N.C.	House Candidate	Democrat	
arredondo_lynch	Alma	Arredondo	Lynch	Texas	House Candidate	Republican	inactive 
RepAdams	Alma		Adams	N.C.	House Representative	Democrat	
AlpBasaranNJ	Alp		Basaran	N.J.	House Candidate	Democrat	inactive 
AlyciaBarnard22	Alycia		Barnard	Fla.	House Candidate	Republican	
AlyseGalvin	Alyse		Galvin	Alaska	House Candidate	Democrat	inactive 
adkins_2020	Amanda		Adkins	Kan.	House Candidate	Republican	inactive 
AmandaForTexas	Amanda		Edwards	Texas	Senate Candidate	Democrat	inactive 
AmandaHowland06	Amanda		Howland	Ill.	House Candidate	Democrat	inactive 
amandamakki	Amanda		Makki	Fla.	House Candidate	Republican	inactive 
amandapfrankel	Amanda		Frankel	N.Y.	House Candidate	Democrat	inactive 
AmandaRenteria	Amanda		Renteria	Calif.	House Candidate	Democrat	inactive 
AmandaStuck8	Amanda		Stuck	Wis.	House Candidate	Democrat	inactive 
SiebeforORD1	Amanda		Siebe	Ore.	House Candidate	Democrat	inactive 
Ivey2020	Amber		Ivey	Md.	House Candidate	Other	inactive 
AmeenaMatthews	Ameena		Matthews	Ill.	House Candidate	Democrat	inactive 
Benno4Congress	Ameer		Benno	N.Y.	House Candidate	Republican	inactive 
BeraForCongress	Ami		Bera	Calif.	House Candidate	Democrat	
RepBera	Ami		Bera	Calif.	House Representative	Democrat	
amieformaryland	Amie		Hoeber	Md.	House Candidate	Republican	inactive 
ACampaNajjar	Ammar	Campa	Najjar	Calif.	House Candidate	Democrat	inactive 
AlWashburn	Amy		Washburn	Wis.	House Candidate	Democrat	
amy4thepeople	Amy		Vilela	Nev.	House Candidate	Democrat	inactive 
AmyCongress	Amy	Pope	Wells	Fla.	House Candidate	Republican	inactive 
AmyforOregon	Amy		Courser	Ore.	House Candidate	Republican	inactive 
AmyKennedy715	Amy		Kennedy	N.J.	House Candidate	Democrat	inactive 
amyklobuchar	Amy		Klobuchar	Minn.	Presidential Candidate	Democrat	inactive 
AmyMcGrathKY	Amy		McGrath	Ky.	Senate Candidate	Democrat	inactive 
amyphanwest	Amy	Phan	West	Calif.	House Candidate	Republican	
AmySlepr	Amy		Slepr	Mich.	House Candidate	Other	inactive 
MurriBrielIL16	Amy	Murri	Briel	Ill.	House Candidate	Democrat	inactive 
PhanWest	Amy	Phan	West	Calif.	House Candidate	Republican	inactive 
AnderCrenshaw	Ander		Crenshaw	Fla.	House Representative	Republican	inactive 
andiesaizan	Andie		Saizan	La.	House Candidate	Democrat	inactive 
AndomForNY	Andom		Ghebreghiorgis	N.Y.	House Candidate	Democrat	inactive 
Andre4Congress	Andre		Carson	Ind.	House Representative	Democrat	
RepAndreCarson	Andre		Carson	Ind.	House Representative	Democrat	
AndreaRamseyKS	Andrea		Ramsey	Kan.	House Candidate	Democrat	inactive 
McGee_FL22	Andrea		McGee	Fla.	House Candidate	Republican	inactive 
_Andrew_Walter	Andrew		Walter	Ariz.	House Candidate	Republican	inactive 
andrewcuomo	Andrew		Cuomo	N.Y.	Governor	Democrat	
AndrewFGrant	Andrew		Grant	Calif.	House Candidate	Republican	
andrewjduck	Andrew		Duck	Md.	House Candidate	Democrat	inactive 
AndrewLearned	Andrew		Learned	Fla.	House Candidate	Democrat	inactive 
AndrewLegnani	Andrew		Legnani	Conn.	House Candidate	Democrat	
andrewromanoff	Andrew		Romanoff	Colo.	House Candidate	Democrat	inactive 
AndrewRoraback	Andrew		Roraback	Conn.	House Candidate	Republican	inactive 
AndrewSneathern	Andrew		Sneathern	Va.	House Candidate	Democrat	inactive 
AndrewYang	Andrew		Yang	N.Y.	Presidential Candidate	Democrat	inactive 
ATHeldut	Andrew		Heldut	Ill.	House Candidate	Democrat	inactive 
Clyde4Congress	Andrew		Clyde	Ga.	House Candidate	Republican	inactive 
DodgeforSenate	Andrew	Ian	Dodge	Maine	Senate Candidate	Other	inactive 
dracopalin	Andrew		Littler	Ohio	House Candidate	Republican	inactive 
