twitter	name_first	name_middle	name_last	state	position	party	inactive 
JimInhofe	Jim		Inhofe	Okla.	Senator	Republican	
JimJusticeWV	Jim		Justice	W.Va.	Governor	Republican	
JimLangevin	Jim		Langevin	R.I.	House Representative	Democrat	
jimmowrer	Jim		Mowrer	Iowa	House Candidate	Democrat	inactive 
JimOberweis	Jim		Oberweis	Ill.	House Candidate	Republican	inactive 
JimPressOffice	Jim		Sensenbrenner	Wis.	House Representative	Republican	
Jimprudenforco1	Jim		Pruden	Fla.	House Candidate	Republican	inactive 
JimRenacci	Jim		Renacci	Ohio	House Candidate	Republican	inactive 
JimRenacciOH16	Jim		Renacci	Ohio	House Representative	Republican	inactive 
JimRisch	Jim		Risch	Idaho	Senator	Republican	inactive 
jimtracy	Jim		Tracy	Tenn.	House Candidate	Republican	inactive 
LangevinForRI	Jim		Langevin	R.I.	House Candidate	Democrat	
marter4congress	Jim		Marter	Ill.	House Candidate	Republican	inactive 
MathesonForUtah	Jim		Matheson	Utah	House Representative	Democrat	inactive 
McDermott4Rep	Jim		McDermott	Wash.	House Representative	Democrat	inactive 
McGovernMA	Jim		McGovern	Mass.	House Representative	Democrat	
MississippiAGO	Jim		Hood	Miss.	State Official	Democrat	inactive 
NewbergerJim	Jim		Newberger	Minn.	Senate Candidate	Republican	inactive 
noteware4hou	Jim		Noteware	Texas	House Candidate	Republican	inactive 
Oberweis2014	Jim		Oberweis	Ill.	Senate Candidate	Republican	inactive 
Read4Congress	Jim		Read	Minn.	House Candidate	Democrat	inactive 
Renacci2012	Jim		Renacci	Ohio	House Representative	Republican	inactive 
RepHagedorn	Jim		Hagedorn	Minn.	House Representative	Republican	
RepJBridenstine	Jim		Bridenstine	Okla.	House Representative	Republican	inactive 
RepJimBanks	Jim		Banks	Ind.	House Representative	Republican	
repjimcooper	Jim		Cooper	Tenn.	House Representative	Democrat	
RepJimCosta	Jim		Costa	Calif.	House Representative	Democrat	
RepJimLower	Jim		Lower	Mich.	House Candidate	Republican	inactive 
RepJimMatheson	Jim		Matheson	Utah	House Representative	Democrat	inactive 
RepJimMcDermott	Jim		McDermott	Wash.	House Representative	Democrat	inactive 
RepJimRenacci	Jim		Renacci	Ohio	House Representative	Republican	inactive 
RepJimWard	Jim		Ward	Kan.	Gubernatorial Candidate	Democrat	inactive 
RepMcGovern	Jim		McGovern	Mass.	House Representative	Democrat	
Risch4Idaho	Jim		Risch	Idaho	Senate Candidate	Republican	
SenatorRisch	Jim		Risch	Idaho	Senator	Republican	
SheaforMD	Jim		Shea	Md.	Gubernatorial Candidate	Democrat	inactive 
Squires2022	Jim		Squires	Texas	House Candidate	Democrat	
VoteJimMarchant	Jim		Marchant	Nev.	House Candidate	Republican	inactive 
WalzForCongress	Jim		Walz	Ill.	House Candidate	Democrat	inactive 
WVGovernor	Jim		Justice	W.Va.	Governor	Republican	
Jimmy_Fremgen	Jimmy		Fremgen	Calif.	House Candidate	Democrat	
JimmyGomezCA	Jimmy		Gomez	Calif.	House Representative	Democrat	
JimmyPanetta	Jimmy		Panetta	Calif.	House Candidate	Democrat	
RepJimmyGomez	Jimmy		Gomez	Calif.	House Representative	Democrat	
RepJimmyPanetta	Jimmy		Panetta	Calif.	House Representative	Democrat	
RevolutionaryJC	Jimmy		Cooper	Ga.	House Candidate	Other	inactive 
tillman_ii	Jimmy	Lee	Tillman II	Ill.	House Candidate	Republican	inactive 
Jineea4congress	Jineea		Butler	N.Y.	House Candidate	Republican	inactive 
JjStitt	JJ		Stitt	Okla.	Senate Candidate	Republican	inactive 
JoAnnEmerson	Jo	Ann	Emerson	Mo.	House Representative	Republican	inactive 
Perkins4Oregon	Jo	Rae	Perkins	Ore.	House Candidate	Republican	inactive 
PerkinsForUSSen	Jo	Rae	Perkins	Ore.	House Candidate	Republican	inactive 
RepJoBonner	Jo		Bonner	Ala.	House Representative	Republican	inactive 
drjoanperry	Joan		Perry	N.C.	House Candidate	Republican	inactive 
JoanEFarr	Joan		Farr	Okla.	Senate Candidate	Other	inactive 
joangreeneaz	Joan		Greene	Ariz.	House Candidate	Democrat	inactive 
joanna4oregon	Joanna		Harbour	Ore.	House Candidate	Republican	inactive 
JWrightforCA34	Joanne		Wright	Calif.	House Candidate	Republican	inactive 
Castro4Congress	Joaquin		Castro	Texas	House Candidate	Democrat	
JoaquinCastrotx	Joaquin		Castro	Texas	House Representative	Democrat	
Vazquez4CA53	Joaquin		Vazquez	Calif.	House Candidate	Democrat	inactive 
JodeyArrington	Jodey		Arrington	Texas	House Candidate	Republican	
RepArrington	Jodey		Arrington	Texas	House Representative	Republican	
congressmanhice	Jody		Hice	Ga.	House Representative	Republican	
jballcampaign	Jody		Ball	Tenn.	House Candidate	Republican	inactive 
JodyHice	Jody		Hice	Ga.	House Candidate	Republican	
JodyMur56910114	Jody		Murphy	W.Va.	Gubernatorial Candidate	Democrat	inactive 
Barton4Congress	Joe		Barton	Texas	House Representative	Republican	inactive 
CarrforTN	Joe		Carr	Tenn.	Senate Candidate	Republican	inactive 
GroundworkProj	Joe		Kennedy	Mass.	House Candidate	Democrat	inactive 
Heck4Nevada	Joe		Heck	Nev.	House Representative	Republican	inactive 
HuntforCongress	Joe		Hunt	Ga.	House Candidate	Republican	inactive 
IDJoe4Congress	Joe		Evans	Idaho	House Candidate	Democrat	inactive 
Joe_Akana	Joe		Akana	Hawaii	House Candidate	Republican	inactive 
joe4hoosiers	Joe		Mackey	Ind.	House Candidate	Democrat	inactive 
Joe4PA2020	Joe		Tarshish	Pa.	House Candidate	Other	inactive 
JoeBiden	Joe		Biden	D.C.	Presidential Candidate	Democrat	
JoeCavagna	Joe		Cavagna	Fla.	House Candidate	Republican	
joecollins43rd	Joe		Collins	Calif.	House Candidate	Republican	inactive 
JoeCourtneyCT	Joe		Courtney	Conn.	House Candidate	Democrat	
JoeCrowleyNY	Joe		Crowley	N.Y.	House Candidate	Democrat	inactive 
JoeCunninghamSC	Joe		Cunningham	S.C.	House Candidate	Democrat	inactive 
JoeD4OK	Joe		Dorman	Okla.	Gubernatorial Candidate	Democrat	inactive 
joeecollins3	Joe		Collins	Calif.	House Candidate	Republican	
JoeforIndiana	Joe		Donnelly	Ind.	Senator	Democrat	inactive 
JoeforMontana	Joe		Dooling	Mont.	House Candidate	Republican	inactive 
JoeGarcia	Joe		Garcia	Fla.	House Candidate	Republican	inactive 
JoeKaufmanUSA	Joe		Kaufman	Fla.	House Candidate	Republican	inactive 
JoeKelleyHoR22	Joe		Kelley	Md.	House Candidate	Republican	
joekennedy	Joe	Kennedy	III	Mass.	House Representative	Democrat	
joekent16jan19	Joe		Kent	Wash.	House Candidate	Republican	
joekyrillos2012	Joe		Kyrillos	N.J.	Senate Candidate	Republican	inactive 
JoeLieberman	Joe		Lieberman	Conn.	Senator	Independent	inactive 
JoeMiklosi4CD6	Joe		Miklosi	Colo.	House Candidate	Democrat	inactive 
JoeNeguse	Joe		Neguse	Colo.	House Candidate	Democrat	
JoePerske	Joe		Perske	Minn.	House Candidate	Democrat	inactive 
JoePetersPA	Joe		Peters	Pa.	House Candidate	Republican	inactive 
JoePitts4PA	Joe		Pitts	Pa.	House Representative	Republican	inactive 
JoeProfitGA_04	Joe		Profit	Ga.	House Candidate	Republican	inactive 
JoeProfitGA_07	Joe		Profit	Ga.	House Candidate	Republican	inactive 
joeradinovich	Joe		Radinovich	Minn.	House Candidate	Democrat	inactive 
JoeReynolds2020	Joe		Reynolds	S.C.	Senate Candidate	Republican	inactive 
JoeSchneiderMA	Joe		Schneider	Mass.	House Candidate	Republican	inactive 
JoeSestak	Joe		Sestak	Pa.	Presidential Candidate	Democrat	
JoeShammasCA	Joe		Shammas	Calif.	House Candidate	Democrat	inactive 
JoeVitollo	Joe		Vitollo	N.Y.	House Candidate	Republican	inactive 
JoeWalzTX22	Joe		Walz	Texas	House Candidate	Republican	inactive 
JoeWMiller	Joe	W.	Miller	Alaska	Senate Candidate	Republican	inactive 
kallas6th	Joe		Kallas	Wis.	House Candidate	Democrat	inactive 
POTUS	Joe		Biden	D.C.	President	Democrat	
PresElectBiden	Joe		Biden	D.C.	President	Democrat	inactive 
Rep_JoeWalsh	Joe		Walsh	Ill.	House Representative	Republican	inactive 
RepCunningham	Joe		Cunningham	S.C.	House Representative	Democrat	inactive 
RepJoeBarton	Joe		Barton	Texas	House Representative	Republican	inactive 
RepJoeCourtney	Joe		Courtney	Conn.	House Representative	Democrat	
repjoecrowley	Joe		Crowley	N.Y.	House Representative	Democrat	inactive 
RepJoeGarcia	Joe		Garcia	Fla.	House Representative	Democrat	inactive 
RepJoeHeck	Joe		Heck	Nev.	House Representative	Republican	inactive 
RepJoeMorelle	Joe		Morelle	N.Y.	House Representative	Democrat	
RepJoeNeguse	Joe		Neguse	Colo.	House Representative	Democrat	
RepJoePitts	Joe		Pitts	Pa.	House Representative	Republican	inactive 
RepJoeWilson	Joe		Wilson	S.C.	House Representative	Republican	
SenDonnelly	Joe		Donnelly	Ind.	Senator	Democrat	inactive 
TeamJoeWilson	Joe		Wilson	S.C.	House Candidate	Republican	
votemorelle	Joe		Morelle	N.Y.	House Candidate	Democrat	
WalshFreedom	Joe		Walsh	Ill.	House Representative	Republican	inactive 
workingjoebaca	Joe		Baca	Calif.	House Candidate	Democrat	inactive 
Funk4Congress	Joel		Funk	Ill.	House Candidate	Democrat	inactive 
JoelMCGA	Joel		Langlois	Mich.	House Candidate	Republican	inactive 
NewbyOH15	Joel		Newby	Ohio	House Candidate	Democrat	inactive 
joey_nations	Joey		Nations	Ore.	House Candidate	Republican	inactive 
2020JohnBrooks	John		Brooks	Calif.	House Candidate	Democrat	inactive 
apaschenforiowa	John		Paschen	Iowa	House Candidate	Democrat	inactive 
ARSecofState	John		Thurston	Ark.	State Official	Other	inactive 
BargeforGA	John		Barge	Ga.	Gubernatorial Candidate	Republican	inactive 
barrassoforwyo	John		Barrasso	Wyo.	Senator	Republican	
Barrow4GA	John		Barrow	Ga.	House Representative	Democrat	inactive 
Biggan4Congress	John		Biggan	Texas	House Candidate	Democrat	inactive 
Boozman4AR	John		Boozeman	Ark.	Senator	Republican	
coachbohlin	John	Salvador	Bohlin	Texas	House Candidate	Republican	inactive 
CongCulberson	John		Culberson	Texas	House Representative	Republican	inactive 
cummings2020	John		Cummings	N.Y.	House Candidate	Republican	inactive 
CurtisUT	John		Curtis	Utah	House Representative	Republican	
DeBellisforSen	John		DeBellis	Pa.	Senate Candidate	Republican	inactive 
EichForCongress	John		Eichelberger	Pa.	House Candidate	Republican	inactive 
Emmons4Congress	John		Emmons	Pa.	House Candidate	Republican	inactive 
FlemingforLA	John		Fleming	La.	House Representative	Republican	inactive 
Flora4Congress	John		Flora	N.J.	House Candidate	Democrat	inactive 
Gear6A	John		Molnar	Utah	House Candidate	Other	inactive 
GerryNolan13	John		Nolan	Fla.	House Candidate	Other	inactive 
GovernordeJongh	John	deJongh	Jr.	Virgin Islands	Governor	Democrat	inactive 
GovJohnLynch	John		Lynch	N.H.	Governor	Democrat	inactive 
Heenan4Montana	John		Heenan	Mont.	House Candidate	Democrat	inactive 
Hickenlooper	John		Hickenlooper	Colo.	Senate Candidate	Democrat	
hoeven4senate	John		Hoeven	N.D.	Senator	Republican	
howeforcongress	John		Howe	Minn.	House Candidate	Republican	inactive 
jb4va	John		Beatty	Va.	House Candidate	Republican	
JFitz4Congress	John		Fitzgerald	Calif.	House Candidate	Republican	inactive 
JGHertzler	John	G	Hertzler	N.Y.	House Candidate	Independent	inactive 
jlewis4congress	John		Lewis	Ga.	House Representative	Democrat	
John_4Congress	John		Nelson	Calif.	House Candidate	Democrat	inactive 
John_Carney	John		Carney	Del.	House Representative	Democrat	inactive 
John_Katko	John		Katko	N.Y.	House Representative	Republican	inactive 
John_W_Ewing	John	W.	Ewing	Neb.	House Candidate	Democrat	inactive 
JohnAForNY	John		Atkinson	N.Y.	House Candidate	Democrat	
JohnBlairforNM	John		Blair	N.M.	House Candidate	Democrat	inactive 
johnboehner	John		Boehner	Ohio	House Representative	Republican	inactive 
JohnBoozman	John		Boozeman	Ark.	Senator	Republican	
JohnCarneyDE	John		Carney	Del.	Governor	Democrat	
johnchapman2014	John		Chapman	Mass.	House Candidate	Republican	inactive 
JohnChrin	John		Chrin	Pa.	House Candidate	Republican	inactive 
johncollick	John	W	Collick	Va.	House Candidate	Republican	inactive 
johnconyersjr	John		Conyers	Mich.	House Representative	Democrat	inactive 
JohnCornyn	John		Cornyn	Texas	Senator	Republican	
JohnCowanGA	John		Cowan	Ga.	House Candidate	Republican	inactive 
johnculberson	John		Culberson	Texas	House Candidate	Republican	inactive 
JohnDelaney	John		Delaney	Md.	Presidential Candidate	Democrat	inactive 
johndennis2012	John		Dennis	Calif.	House Candidate	Republican	inactive 
JohnDingell	John		Dingell	Mich.	House Representative	Democrat	inactive 
JohnDMcGuigan	John		McGuigan	Pa.	Senate Candidate	Democrat	
JohnElleson	John		Elleson	Ill.	House Candidate	Republican	inactive 
JohnFasoNy	John		Faso	N.Y.	House Representative	Republican	inactive 
johnfbriscoe	John		Briscoe	Calif.	House Candidate	Republican	inactive 
JohnFetterman	John		Fetterman	Pa.	Senate Candidate	Democrat	
johnfoustva	John		Foust	Va.	House Candidate	Democrat	inactive 
JohnGaramendi	John		Garamendi	Calif.	House Representative	Democrat	
JohnGreggIN	John		Gregg	Ind.	Gubernatorial Candidate	Democrat	
JohnHMerrill	John	H	Merrill	Ala.	State Official	Republican	
JohnHolm4ORD2	John		Holm	Ore.	House Candidate	Democrat	inactive 
johnhsu4nj	John		Hsu	N.J.	House Candidate	Democrat	inactive 
JohnJamesMI	John		James	Mich.	Senate Candidate	Republican	inactive 
JohnJayMyers	John	Jay	Myers	Texas	Senate Candidate	Other	inactive 
JohnJayPDevine	John	P.	Devine	Mass.	Senate Candidate	Other	inactive 
JohnJoyceForPA	John		Joyce	Pa.	House Candidate	Republican	
JohnKasich	John		Kasich	Ohio	Governor	Republican	inactive 
JohnKennedyLA	John	Neely	Kennedy	La.	Senator	Republican	
JohnKerry	John		Kerry	Mass.	Senator	Democrat	inactive 
JohnLaFerla	John		LaFerla	Md.	House Candidate	Democrat	inactive 
JohnLarsonCT	John		Larson	Conn.	House Representative	Democrat	
JohnMacGovern	John		MacGovern	Vt.	Senate Candidate	Republican	inactive 
JohnMcCallumGA	John		McCallum	Ga.	House Candidate	Republican	inactive 
JohnMessmer	John		Messmer	Mo.	House Candidate	Democrat	inactive 
JohnMoolenaar	John		Moolenaar	Mich.	House Representative	Republican	
JohnMShimkus	John	M	Shimkus	Ill.	House Candidate	Republican	inactive 
JohnOceguera	John		Oceguera	Nev.	House Candidate	Democrat	inactive 
JohnPaul4Mass	John	Paul	Moran	Mass.	House Candidate	Republican	inactive 
johnrenison	John		Renison	Calif.	House Candidate	Republican	inactive 
JohnRoseforTN	John		Rose	Tenn.	House Candidate	Republican	
JohnSarbanes	John		Sarbanes	Md.	House Candidate	Democrat	
johnser545	John		Serbin	Ala.	Senate Candidate	Republican	inactive 
johnthune	John		Thune	S.D.	Senator	Republican	
johntierney_MA	John		Tierney	Mass.	House Representative	Democrat	inactive 
JohnWalsh	John		Walsh	Mont.	Senator	Democrat	inactive 
johnwalshco	John		Walsh	Colo.	Senate Candidate	Democrat	inactive 
johnwbartlett	John		Bartlett	N.J.	House Candidate	Democrat	inactive 
JohnWebbforCong	John		Webb	Mo.	House Candidate	Republican	inactive 
JRutherfordFL	John		Rutherford	Fla.	House Candidate	Republican	
JSHernandez2012	John		Hernandez	Calif.	House Candidate	Democrat	inactive 
JudgeCarter	John		Carter	Texas	House Representative	Republican	
JudgeJohnCarter	John		Carter	Texas	House Candidate	Republican	
JWTyler4USRep	John	Wesley	Tyler	Calif.	House Candidate	Democrat	inactive 
Kline4Congress	John		Kline	Minn.	House Representative	Republican	inactive 
Koster4Congress	John		Koster	Wash.	House Candidate	Republican	inactive 
LoveForTX	John		Love	Texas	Senate Candidate	Democrat	inactive 
McKinneyforGov	John		McKinney	Conn.	Gubernatorial Candidate	Republican	inactive 
micaforcongress	John		Mica	Fla.	House Candidate	Republican	inactive 
Moore4AZ	John	W	Moore	Ariz.	House Candidate	Republican	
MooreForAZ2020	John	W	Moore	Ariz.	House Candidate	Republican	inactive 
mtforlewis	John		Lewis	Mont.	House Candidate	Democrat	inactive 
MuesforMontana	John		Mues	Mont.	Senate Candidate	Democrat	inactive 
ohjohnrussell	John		Russell	Ohio	House Candidate	Democrat	inactive 
OHPressSec	John		Kasich	Ohio	Governor	Republican	
Peters_4The12th	John		Peters	Ohio	House Candidate	Democrat	inactive 
RaeseForSenate	John		Raese	W.Va.	Senate Candidate	Republican	inactive 
ratcliffetx4	John		Ratcliffe	Texas	House Representative	Republican	inactive 
realJohnACastro	John	Anthony	Castro	Texas	Senate Candidate	Republican	inactive 
RealJohnDennis	John		Dennis	Calif.	House Candidate	Republican	inactive 
realJohnMcCann	John		McCann	N.J.	House Candidate	Republican	inactive 
RepFleming	John		Fleming	La.	House Representative	Republican	inactive 
RepGaramendi	John		Garamendi	Calif.	House Representative	Democrat	
repjohnbarrow	John		Barrow	Ga.	House Representative	Democrat	inactive 
RepJohnCampbell	John		Campbell	Calif.	House Representative	Republican	inactive 
RepJohnCarter	John		Carter	Texas	House Representative	Republican	
RepJohnConyers	John		Conyers	Mich.	House Representative	Democrat	inactive 
RepJohnCurtis	John		Curtis	Utah	House Representative	Republican	
RepJohnDelaney	John		Delaney	Md.	House Representative	Democrat	inactive 
RepJohnDuncanJr	John	Duncan	Jr.	Tenn.	House Representative	Republican	inactive 
RepJohnFaso	John		Faso	N.Y.	House Representative	Republican	
RepJohnJoyce	John		Joyce	Pa.	House Representative	Republican	
RepJohnKatko	John		Katko	N.Y.	House Representative	Republican	
repjohnkline	John		Kline	Minn.	House Representative	Republican	inactive 
RepJohnLarson	John		Larson	Conn.	House Representative	Democrat	
repjohnlewis	John		Lewis	Ga.	House Representative	Democrat	
RepJohnRose	John		Rose	Tenn.	House Representative	Republican	
RepJohnYarmuth	John		Yarmuth	Ky.	House Representative	Democrat	
RepMoolenaar	John		Moolenaar	Mich.	House Representative	Republican	
RepRatcliffe	John		Ratcliffe	Texas	House Representative	Republican	inactive 
RepRutherfordFL	John		Rutherford	Fla.	House Representative	Republican	
RepSarbanes	John		Sarbanes	Md.	House Representative	Democrat	
RepShimkus	John		Shimkus	Ill.	House Representative	Republican	inactive 
RepTierney	John		Tierney	Mass.	House Representative	Democrat	inactive 
SenatorHick	John		Hickenlooper	Colo.	Senator	Democrat	
SenJohnBarrasso	John		Barrasso	Wyo.	Senator	Republican	
SenJohnHoeven	John		Hoeven	N.D.	Senator	Republican	
senjohnhowe	John		Howe	Minn.	House Candidate	Republican	inactive 
SenJohnKennedy	John		Kennedy	La.	Senator	Republican	
SenJohnMcCain	John		McCain	Ariz.	Senator	Republican	inactive 
SenJohnThune	John		Thune	S.D.	Senator	Republican	
SenWalshOffice	John		Walsh	Mont.	Senator	Democrat	inactive 
SpeakerBoehner	John		Boehner	Ohio	House Representative	Republican	inactive 
StephensforIN3	John		Stephens	Ind.	House Candidate	Democrat	
structuralecon	John		Moser	Md.	House Candidate	Democrat	inactive 
TeamCornyn	John		Cornyn	Texas	Senator	Republican	
TeamDingell	John		Dingell	Mich.	House Representative	Democrat	inactive 
TEAMSullivan	John		Sullivan	Okla.	House Representative	Republican	inactive 
TheRealJohnHCox	John		Cox	Calif.	Gubernatorial Candidate	Other	inactive 
USRepSullivan	John		Sullivan	Okla.	House Representative	Republican	inactive 
farmer4ozarks	John		Farmer de la Torre	Mo.	House Candidate	Democrat	inactive 
GovKitz	John	A.	Kitzhaber M.D.	Ore.	Governor	Democrat	inactive 
KitzForGov	John	A.	Kitzhaber M.D.	Ore.	Governor	Democrat	
CheckJohnny	Johnny		Teague	Texas	House Candidate	Republican	inactive 
Johnny_Congress	Johnny		Nalbandian	Calif.	House Candidate	Republican	inactive 
JohnnyAkzam	Johnny		Akzam	Minn.	House Candidate	Democrat	inactive 
SenatorIsakson	Johnny		Isakson	Ga.	Senator	Republican	
Vote4Tacherra	Johnny		Tacherra	Calif.	House Candidate	Republican	inactive 
jocoelection	Johnson	County	Elections	Kan.	Local Agency	Other	inactive 
JohsieC	Johsie		Cruz	Ga.	House Candidate	Republican	inactive 
ForMenefee	Jon		Menefee	Texas	House Candidate	Republican	inactive 
JDalrympleJr	Jon	Dalrymple	Jr.	N.J.	House Candidate	Republican	inactive 
jon2012hq	Jon		Huntsman	Utah	Governor	Republican	inactive 
JonAzDistrict5	Jon		Ireland	Ariz.	House Candidate	Democrat	inactive 
JonDillard_TN8	Jon		Dillard	Tenn.	House Candidate	Other	inactive 
JonHoadley	Jon		Hoadley	Mich.	House Candidate	Democrat	inactive 
JonHuntsman	Jon		Huntsman	Utah	Governor	Republican	inactive 
JonHusted	Jon		Husted	Ohio	State Official	Republican	
jonivy	Jon		Ivy	Calif.	House Candidate	Republican	inactive 
jonmarkhogg	Jon	Mark	Hogg	Texas	House Candidate	Democrat	inactive 
jontchuba	Jon		Chuba	Fla.	House Candidate	Republican	
jontester	Jon		Tester	Mont.	Senator	Democrat	
Kaiman4Congress	Jon		Kaiman	N.Y.	House Candidate	Democrat	inactive 
OhioSOSHusted	Jon		Husted	Ohio	State Official	Republican	inactive 
ossoff	Jon		Ossoff	Ga.	Senate Candidate	Democrat	
RepJonRunyan	Jon		Runyan	N.J.	House Representative	Republican	inactive 
RunWithRocha	Jon		Rocha	Mich.	House Candidate	Republican	
Runyan2014	Jon		Runyan	N.J.	House Representative	Republican	inactive 
SenatorTester	Jon		Tester	Mont.	Senator	Democrat	
senjonkyl	Jon		Kyl	Ariz.	Senator	Republican	inactive 
SenOssoff	Jon		Ossoff	Ga.	Senator	Democrat	
JonahSchulzOH	Jonah		Schulz	Ohio	House Candidate	Republican	inactive 
Camarillo4House	Jonathan		Camarillo	Texas	House Candidate	Republican	inactive 
ElectLamb	Jonathan	M.	Lamb	Ind.	House Candidate	Republican	inactive 
fulfordformaine	Jonathan		Fulford	Maine	House Candidate	Democrat	inactive 
JenkinsCongress	Jonathan		Jenkins	Md.	House Candidate	Republican	
JHullihanTX	Jonathan		Hullihan	Texas	House Candidate	Republican	
JonathanChane	Jonathan		Chane	Fla.	House Candidate	Republican	inactive 
JonathanHerzog5	Jonathan		Herzog	N.Y.	House Candidate	Democrat	inactive 
JonathanPaton	Jonathan		Paton	Ariz.	House Candidate	Republican	inactive 
riddlecongress	Jonathan		Riddle	Conn.	House Candidate	Republican	inactive 
vote4esteban	Jonathan		Esteban	Nev.	House Candidate	Other	inactive 
joniernst	Joni		Ernst	Iowa	Senator	Republican	
SenJoniErnst	Joni		Ernst	Iowa	Senator	Republican	
TeamJoni	Joni		Ernst	Iowa	Senator	Republican	
teamjonia2020	Jonia		Broderick	Utah	House Candidate	Other	inactive 
BonillaCongress	Jorge		Bonilla	Fla.	House Candidate	Republican	inactive 
VoteDelgado	Jorge		Delgado	Md.	House Candidate	Republican	inactive 
JLFNY7	José	Luis	Fernández	N.Y.	House Candidate	Republican	inactive 
Astro_Jose	Jose		Hernandez	Calif.	House Candidate	Democrat	inactive 
JoseCaballeroSD	Jose		Caballero	Calif.	House Candidate	Democrat	inactive 
JoseForFlorida	Jose		Castillo	Fla.	House Candidate	Republican	inactive 
RepJoseSerrano	Jose		Serrano	N.Y.	House Representative	Democrat	inactive 
jdmorgan11	Joseph		Morgan	Ariz.	House Candidate	Republican	inactive 
JosephBrumbles	Joseph		Brumbles	Wash.	House Candidate	Republican	inactive 
Kopser4Congress	Joseph		Kopser	Texas	House Candidate	Democrat	inactive 
Weil4USSenate	Joseph		Weil	Fla.	Senate Candidate	Democrat	
JoeManchinWV	Joseph		Manchin III	W.Va.	Senator	Democrat	
Sen_JoeManchin	Joseph		Manchin III	W.Va.	Senator	Democrat	
BarnettforAZ	Josh		Barnett	Ariz.	House Candidate	Republican	inactive 
HawleyMO	Josh		Hawley	Mo.	Senate Candidate	Republican	
Josh_Kimbrell	Josh		Kimbrell	S.C.	House Candidate	Republican	inactive 
JoshButnerCA50	Josh		Butner	Calif.	House Candidate	Democrat	inactive 
JoshEisen17	Josh		Eisen	N.Y.	House Candidate	Other	inactive 
JoshForNY	Josh		Sauberman	N.Y.	House Candidate	Other	inactive 
JoshGappSenate	Josh		Gapp	Tenn.	Senate Candidate	Republican	inactive 
JoshGottheimer	Josh		Gottheimer	N.J.	House Candidate	Democrat	
JoshHarder	Josh		Harder	Calif.	House Candidate	Democrat	
joshhicksky	Josh		Hicks	Ky.	House Candidate	Democrat	inactive 
JoshMandelOhio	Josh		Mandel	Ohio	Senate Candidate	Republican	
JoshPade	Josh		Pade	Wis.	House Candidate	Democrat	inactive 
JoshRemillardNC	Josh		Remillard	N.C.	House Candidate	Democrat	
joshua_harder	Josh		Harder	Calif.	House Candidate	Democrat	inactive 
JoshuaDuvallCFP	Josh		Duvall	N.J.	House Candidate	Republican	inactive 
joshuamahony	Josh		Mahony	Ark.	House Candidate	Democrat	inactive 
JoshuaWelle	Josh		Welle	N.J.	House Candidate	Democrat	inactive 
Mccallforall	Josh		McCall	Ga.	House Candidate	Democrat	inactive 
nicoloff_josh	Josh		Nicoloff	Mo.	House Candidate	Democrat	
RepJoshG	Josh		Gottheimer	N.J.	House Representative	Democrat	
RepJoshHarder	Josh		Harder	Calif.	House Representative	Democrat	
SenHawleyPress	Josh		Hawley	Mo.	Senator	Republican	
votejosh2018	Josh		Guillory	La.	House Candidate	Republican	inactive 
WinegarnerTX	Josh		Winegarner	Texas	House Candidate	Republican	inactive 
CarrizalesForCo	Joshua		Carrizales	Texas	House Candidate	Republican	inactive 
FoxworthFor14	Joshua		Foxworth	Texas	House Candidate	Republican	inactive 
JoshForUSHouse	Joshua		Brannon	N.C.	House Candidate	Democrat	inactive 
joshuascottca32	Joshua		Scott	Calif.	House Candidate	Republican	inactive 
JoshuaSvaty	Joshua		Svaty	Kan.	Gubernatorial Candidate	Democrat	inactive 
realJoshuaFreed	Joshua		Freed	Wash.	Gubernatorial Candidate	Republican	inactive 
ThePoliticalJAB	Joshua	A	Butler	Texas	House Candidate	Democrat	inactive 
voterawlings	Joshua		Rawlings	Tenn.	House Candidate	Democrat	inactive 
JMDickersonSC	Joyce		Dickerson	S.C.	Senate Candidate	Democrat	inactive 
JoyceBeatty	Joyce		Beatty	Ohio	House Candidate	Democrat	
JoyceBentleyCD1	Joyce		Bentley	Nev.	House Candidate	Republican	inactive 
JoyceforOhio	Joyce		Healy-Abrams	Ohio	House Candidate	Democrat	inactive 
JoyceGriggs2020	Joyce		Griggs	Ga.	House Candidate	Democrat	inactive 
joycekrawiec	Joyce		Krawiec	N.C.	State Legislator	Republican	inactive 
RepBeatty	Joyce		Beatty	Ohio	House Representative	Democrat	
xjelliott	Joyce		Elliott	Ark.	House Candidate	Democrat	inactive 
DVasquez2020	Juan		Vasquez	Ariz.	Senate Candidate	Democrat	inactive 
HidalgoCongress	Juan	Hidalgo	Jr.	Calif.	House Candidate	Republican	inactive 
HidalgoFor51st	Juan		Hidalgo	Calif.	House Candidate	Republican	inactive 
JuanCiscomani	Juan		Ciscomani	Ariz.	House Candidate	Republican	
JuanParks4Ga	Juan		Parks	Ga.	House Candidate	Democrat	inactive 
RepJuanVargas	Juan		Vargas	Calif.	House Representative	Democrat	
Vargas4Congress	Juan		Vargas	Calif.	House Representative	Democrat	inactive 
Juana_B_Matias	Juana	B.	Matias	Mass.	House Candidate	Democrat	inactive 
JudahHosanna	Judah		Hosanna	Calif.	House Candidate	Republican	
JudiforCongress	Judi		Reiss	Pa.	House Candidate	Democrat	inactive 
